service_id,date,exception_type
Full-Weekday,20260921,1
Full-Weekday,20260922,1
Full-Weekday,20260923,1
Full-Weekday,20260924,1
Full-Weekday,20260925,1
Full-Sa,20260926,1
Full-Su,20260927,1
Full-Weekday,20260928,1
Full-Weekday,20260929,1
Full-Weekday,20260930,1
Full-Weekday,20261001,1
Full-Weekday,20261002,1
Full-Sa,20261003,1
Full-Su,20261004,1
Full-Weekday,20261005,1
Full-Weekday,20261006,1
Full-Weekday,20261007,1
CWF-Weekday,20261008,1
CWF-Weekday,20261009,1
Full-Sa,20261010,1
Full-Su,20261011,1
Full-Weekday,20261012,1
Full-Weekday,20261013,1
Full-Weekday,20261014,1
Full-Weekday,20261015,1
Full-Weekday,20261016,1
Full-Sa,20261017,1
Full-Su,20261018,1
Full-Weekday,20261019,1
Full-Weekday,20261020,1
Full-Weekday,20261021,1
Full-Weekday,20261022,1
