trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled,timepoint
Full-SuFSu_9_2577001_2576942_1555,15:55:00,15:55:00,0_2577001,1,,0,1
Full-SuFSu_9_2577001_2576942_1555,15:56:03,15:56:03,0_2577000,2,,1337,0
Full-SuFSu_9_2577001_2576942_1555,15:57:20,15:57:20,0_2576999,3,,2988,0
Full-SuFSu_9_2577001_2576942_1555,15:58:09,15:58:09,0_2576914,4,,4024,0
Full-SuFSu_9_2577001_2576942_1555,15:58:41,15:58:41,0_2576998,5,,4702,0
Full-SuFSu_9_2577001_2576942_1555,15:58:58,15:58:58,0_2576997,6,,5070,0
Full-SuFSu_9_2577001_2576942_1555,15:59:40,15:59:40,0_2576996,7,,5963,0
Full-SuFSu_9_2577001_2576942_1555,16:00:45,16:00:45,0_2576994,8,,7356,0
Full-SuFSu_9_2577001_2576942_1555,16:03:00,16:03:00,0_2576995,9,,10232,1
Full-SuFSu_9_2577001_2576942_1555,16:03:01,16:03:01,0_2576992,10,,10238,0
Full-SuFSu_9_2577001_2576942_1555,16:05:40,16:05:40,0_2576991,11,,10985,0
Full-SuFSu_9_2577001_2576942_1555,16:10:09,16:10:09,0_2576990,12,,12250,0
Full-SuFSu_9_2577001_2576942_1555,16:13:00,16:13:00,0_2576917,13,,13049,1
Full-SuFSu_9_2577001_2576942_1555,16:13:24,16:13:24,0_2576989,14,,13375,0
Full-SuFSu_9_2577001_2576942_1555,16:13:44,16:13:44,0_2576988,15,,13647,0
Full-SuFSu_9_2577001_2576942_1555,16:15:48,16:15:48,0_2576916,16,,15312,0
Full-SuFSu_9_2577001_2576942_1555,16:16:11,16:16:11,0_2576987,17,,15625,0
Full-SuFSu_9_2577001_2576942_1555,16:16:53,16:16:53,0_2576986,18,,16192,0
Full-SuFSu_9_2577001_2576942_1555,16:17:41,16:17:41,0_2576985,19,,16832,0
Full-SuFSu_9_2577001_2576942_1555,16:18:40,16:18:40,0_2576984,20,,17620,0
Full-SuFSu_9_2577001_2576942_1555,16:19:45,16:19:45,0_2576983,21,,18489,0
Full-SuFSu_9_2577001_2576942_1555,16:20:14,16:20:14,0_2576982,22,,18876,0
Full-SuFSu_9_2577001_2576942_1555,16:21:00,16:21:00,0_2576981,23,,19502,1
